,DeviceTimeStamp,PFL1,PFL2,PFL3,Avg_PF,Sum_PF,FRQ,THDVL1,THDVL2,THDVL3,THDIL1,THDIL2,THDIL3,MDIL1,MDIL2,MDIL3
1,2019-06-25T12:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-06-25T12:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-06-25T13:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-06-27T10:50,1.0,1.0,1.0,1.0,-92.1,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
9,2019-06-27T10:51,1.0,1.0,1.0,1.0,-29.2,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
11,2019-06-27T10:51,1.0,1.0,1.0,1.0,31.6,49.9,1.7,1.7,1.0,0.0,0.0,0.0,92.7,0.0,0.0
13,2019-06-27T10:52,1.0,1.0,1.0,1.0,-91.7,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
15,2019-06-27T10:53,1.0,1.0,1.0,1.0,-87.9,49.9,2.0,2.0,1.7,0.0,0.0,0.0,92.7,0.0,0.0
17,2019-06-27T10:53,1.0,1.0,1.0,1.0,-89.0,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
19,2019-06-27T10:56,1.0,1.0,1.0,1.0,-25.6,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
21,2019-06-27T10:56,1.0,1.0,1.0,1.0,-29.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
23,2019-06-27T10:57,1.0,1.0,1.0,1.0,-30.2,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
25,2019-06-27T11:01,1.0,1.0,1.0,1.0,-30.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
27,2019-06-27T11:01,1.0,1.0,1.0,1.0,-84.7,50.0,1.7,1.7,2.0,0.0,0.0,0.0,92.7,0.0,0.0
29,2019-06-27T11:10,1.0,1.0,1.0,1.0,-89.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
31,2019-06-27T11:13,1.0,1.0,1.0,1.0,-91.5,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
33,2019-06-27T11:15,1.0,1.0,1.0,1.0,-30.3,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
35,2019-06-27T11:16,1.0,1.0,1.0,1.0,-86.4,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
37,2019-06-27T11:16,1.0,1.0,1.0,1.0,-92.3,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
39,2019-06-27T11:17,1.0,1.0,1.0,1.0,-29.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
41,2019-06-27T11:20,1.0,1.0,1.0,1.0,-87.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
43,2019-06-27T11:21,1.0,1.0,1.0,1.0,-26.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
45,2019-06-27T11:22,1.0,1.0,1.0,1.0,-90.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
47,2019-06-27T11:22,1.0,1.0,1.0,1.0,-85.6,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
49,2019-06-27T11:23,1.0,1.0,1.0,1.0,-90.2,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
51,2019-06-27T11:24,1.0,1.0,1.0,1.0,-29.8,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
53,2019-06-27T11:25,1.0,1.0,1.0,1.0,-26.5,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
55,2019-06-27T11:28,1.0,1.0,1.0,1.0,-90.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
57,2019-06-27T11:29,1.0,1.0,1.0,1.0,-90.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
59,2019-06-27T11:29,1.0,1.0,1.0,1.0,-87.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
61,2019-06-27T11:30,1.0,1.0,1.0,1.0,-30.8,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
63,2019-06-27T11:32,1.0,1.0,1.0,1.0,-88.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
65,2019-06-27T11:33,1.0,1.0,1.0,1.0,-26.4,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
67,2019-06-27T11:34,1.0,1.0,1.0,1.0,-30.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
69,2019-06-27T11:38,1.0,1.0,1.0,1.0,-87.4,49.9,2.1,2.1,2.1,0.0,0.0,0.0,92.7,0.0,0.0
71,2019-06-27T11:39,1.0,1.0,1.0,1.0,-87.5,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
73,2019-06-27T11:40,1.0,1.0,1.0,1.0,-26.7,49.9,1.6,1.2,1.2,0.0,0.0,0.0,92.7,0.0,0.0
75,2019-06-27T11:40,1.0,1.0,1.0,1.0,-91.5,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
77,2019-06-27T11:43,1.0,1.0,1.0,1.0,-29.6,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
79,2019-06-27T11:44,1.0,1.0,1.0,1.0,-86.6,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
81,2019-06-27T11:44,1.0,1.0,1.0,1.0,-88.3,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
83,2019-06-27T11:45,1.0,1.0,1.0,1.0,-28.5,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
85,2019-06-27T11:48,1.0,1.0,1.0,1.0,-85.3,49.9,1.8,1.9,1.8,0.0,0.0,0.0,92.7,0.0,0.0
87,2019-06-27T11:51,1.0,1.0,1.0,1.0,-27.2,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
89,2019-06-27T11:53,1.0,1.0,1.0,1.0,-28.6,50.0,0.8,0.9,0.8,0.0,0.0,0.0,92.7,0.0,0.0
91,2019-06-27T11:54,1.0,1.0,1.0,1.0,-90.2,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
93,2019-06-27T11:56,1.0,1.0,1.0,1.0,-86.5,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
95,2019-06-27T11:57,1.0,1.0,1.0,1.0,-88.0,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
97,2019-06-27T11:58,1.0,1.0,1.0,1.0,-25.4,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
99,2019-06-27T11:59,1.0,1.0,1.0,1.0,-89.0,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
101,2019-06-27T11:59,1.0,1.0,1.0,1.0,-27.0,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
103,2019-06-27T12:00,1.0,1.0,1.0,1.0,-89.7,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
105,2019-06-27T12:00,1.0,1.0,1.0,1.0,-32.1,49.9,2.2,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
107,2019-06-27T12:01,1.0,1.0,1.0,1.0,-87.3,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
109,2019-06-27T12:02,1.0,1.0,1.0,1.0,-27.0,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
111,2019-06-27T12:02,1.0,1.0,1.0,1.0,-30.9,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
113,2019-06-27T12:03,1.0,1.0,1.0,1.0,-29.2,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
115,2019-06-27T12:04,1.0,1.0,1.0,1.0,-29.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
117,2019-06-27T12:04,1.0,1.0,1.0,1.0,-29.4,50.0,1.9,1.9,1.9,0.0,0.0,0.0,92.7,0.0,0.0
119,2019-06-27T12:05,1.0,1.0,1.0,1.0,-26.7,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
121,2019-06-27T12:06,1.0,1.0,1.0,1.0,-26.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
123,2019-06-27T12:06,1.0,1.0,1.0,1.0,-24.8,50.0,1.9,1.9,1.9,0.0,0.0,0.0,92.7,0.0,0.0
125,2019-06-27T12:07,1.0,1.0,1.0,1.0,-30.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
127,2019-06-27T12:08,1.0,1.0,1.0,1.0,-85.5,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
129,2019-06-27T12:09,1.0,1.0,1.0,1.0,-87.9,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
131,2019-06-27T12:10,1.0,1.0,1.0,1.0,-86.6,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
133,2019-06-27T12:11,1.0,1.0,1.0,1.0,-30.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
135,2019-06-27T12:11,1.0,1.0,1.0,1.0,-91.7,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
137,2019-06-27T12:16,1.0,1.0,1.0,1.0,-26.2,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
139,2019-06-27T12:17,1.0,1.0,1.0,1.0,-26.3,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
141,2019-06-27T12:18,1.0,1.0,1.0,1.0,-88.6,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
143,2019-06-27T12:18,1.0,1.0,1.0,1.0,-89.9,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
145,2019-06-27T12:21,1.0,1.0,1.0,1.0,-89.7,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
147,2019-06-27T12:22,1.0,1.0,1.0,1.0,-92.8,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
149,2019-06-27T12:23,1.0,1.0,1.0,1.0,-27.9,49.9,1.4,1.4,1.4,0.0,0.0,0.0,92.7,0.0,0.0
151,2019-06-27T12:23,1.0,1.0,1.0,1.0,-29.8,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
153,2019-06-27T12:24,1.0,1.0,1.0,1.0,-26.7,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
155,2019-06-27T12:24,1.0,1.0,1.0,1.0,-90.1,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
157,2019-06-27T12:25,1.0,1.0,1.0,1.0,-33.2,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
159,2019-06-27T12:26,1.0,1.0,1.0,1.0,-26.0,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
161,2019-06-27T12:26,1.0,1.0,1.0,1.0,-85.9,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
163,2019-06-27T12:27,1.0,1.0,1.0,1.0,-31.3,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
165,2019-06-27T12:28,1.0,1.0,1.0,1.0,-26.1,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
167,2019-06-27T12:28,1.0,1.0,1.0,1.0,-23.5,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
169,2019-06-27T12:29,1.0,1.0,1.0,1.0,-30.5,50.0,1.8,1.7,1.8,0.0,0.0,0.0,92.7,0.0,0.0
171,2019-06-27T12:30,1.0,1.0,1.0,1.0,-25.2,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
173,2019-06-27T12:30,1.0,1.0,1.0,1.0,-88.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
175,2019-06-27T12:31,1.0,1.0,1.0,1.0,-29.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
177,2019-06-27T12:32,1.0,1.0,1.0,1.0,-27.6,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
179,2019-06-27T12:32,1.0,1.0,1.0,1.0,-25.2,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
181,2019-06-27T12:33,1.0,1.0,1.0,1.0,-88.0,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
183,2019-06-27T12:34,1.0,1.0,1.0,1.0,-26.5,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
185,2019-06-27T12:34,1.0,1.0,1.0,1.0,-89.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
187,2019-06-27T12:38,1.0,1.0,1.0,1.0,-26.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
189,2019-06-27T12:39,1.0,1.0,1.0,1.0,-26.8,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
191,2019-06-27T12:40,1.0,1.0,1.0,1.0,-88.8,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
193,2019-06-27T12:40,1.0,1.0,1.0,1.0,-27.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
195,2019-06-27T12:43,1.0,1.0,1.0,1.0,-91.4,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
197,2019-06-27T12:43,1.0,1.0,1.0,1.0,-88.7,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
199,2019-06-27T12:44,1.0,1.0,1.0,1.0,-85.8,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
201,2019-06-27T12:45,1.0,1.0,1.0,1.0,-88.4,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
203,2019-06-27T12:45,1.0,1.0,1.0,1.0,-27.6,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
205,2019-06-27T12:46,1.0,1.0,1.0,1.0,-31.3,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
207,2019-06-27T12:46,1.0,1.0,1.0,1.0,-87.5,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
209,2019-06-27T12:47,1.0,1.0,1.0,1.0,-31.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
211,2019-06-27T12:48,1.0,1.0,1.0,1.0,-29.5,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
213,2019-06-27T12:48,1.0,1.0,1.0,1.0,-89.8,49.9,2.0,2.0,2.0,0.0,0.0,0.0,92.7,0.0,0.0
215,2019-06-27T12:49,1.0,1.0,1.0,1.0,-30.0,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
217,2019-06-27T12:50,1.0,1.0,1.0,1.0,-28.5,49.9,1.4,1.4,1.4,0.0,0.0,0.0,92.7,0.0,0.0
219,2019-06-27T12:50,1.0,1.0,1.0,1.0,-26.3,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
221,2019-06-27T12:51,1.0,1.0,1.0,1.0,-89.7,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
223,2019-06-27T12:52,1.0,1.0,1.0,1.0,-28.2,50.0,1.6,1.6,1.8,0.0,0.0,0.0,92.7,0.0,0.0
225,2019-06-27T12:52,1.0,1.0,1.0,1.0,-27.5,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
227,2019-06-27T12:53,1.0,1.0,1.0,1.0,-89.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
229,2019-06-27T12:54,1.0,1.0,1.0,1.0,-85.5,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
231,2019-06-27T12:55,1.0,1.0,1.0,1.0,-31.5,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
233,2019-06-27T12:55,1.0,1.0,1.0,1.0,-88.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
235,2019-06-27T12:56,1.0,1.0,1.0,1.0,-88.8,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
237,2019-06-27T12:59,1.0,1.0,1.0,1.0,-89.6,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
239,2019-06-27T12:59,1.0,1.0,1.0,1.0,-88.2,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
241,2019-06-27T13:00,1.0,1.0,1.0,1.0,-29.2,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
243,2019-06-27T13:00,1.0,1.0,1.0,1.0,-25.6,50.1,1.5,1.5,1.5,0.0,0.0,0.0,92.7,0.0,0.0
245,2019-06-27T13:01,1.0,1.0,1.0,1.0,-27.0,50.1,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
247,2019-06-27T13:02,1.0,1.0,1.0,1.0,-89.0,50.1,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
249,2019-06-27T13:03,1.0,1.0,1.0,1.0,-88.1,50.1,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
251,2019-06-27T13:04,1.0,1.0,1.0,1.0,-86.9,50.1,2.1,2.1,2.1,0.0,0.0,0.0,92.7,0.0,0.0
253,2019-06-27T13:05,1.0,1.0,1.0,1.0,-90.2,50.1,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
255,2019-06-27T13:05,1.0,1.0,1.0,1.0,-88.2,50.1,1.9,1.9,1.9,0.0,0.0,0.0,92.7,0.0,0.0
257,2019-06-27T13:06,1.0,1.0,1.0,1.0,-91.8,50.1,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
259,2019-06-27T13:06,1.0,1.0,1.0,1.0,-90.1,50.1,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
261,2019-06-27T13:07,1.0,1.0,1.0,1.0,-24.4,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
263,2019-06-27T13:08,1.0,1.0,1.0,1.0,-87.4,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
265,2019-06-27T13:08,1.0,1.0,1.0,1.0,-27.6,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
267,2019-06-27T13:09,1.0,1.0,1.0,1.0,-26.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
269,2019-06-27T13:10,1.0,1.0,1.0,1.0,-89.6,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
271,2019-06-27T13:11,1.0,1.0,1.0,1.0,-91.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
273,2019-06-27T13:11,1.0,1.0,1.0,1.0,-91.0,50.0,1.7,1.8,1.7,0.0,0.0,0.0,92.7,0.0,0.0
275,2019-06-27T13:12,1.0,1.0,1.0,1.0,-87.1,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
277,2019-06-27T13:12,1.0,1.0,1.0,1.0,-91.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
279,2019-06-27T13:13,1.0,1.0,1.0,1.0,-87.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
281,2019-06-27T13:14,1.0,1.0,1.0,1.0,-92.6,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
283,2019-06-27T13:14,1.0,1.0,1.0,1.0,-28.7,50.0,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
285,2019-06-27T13:15,1.0,1.0,1.0,1.0,32.5,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
287,2019-06-27T13:16,1.0,1.0,1.0,1.0,-26.8,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
289,2019-06-27T13:16,1.0,1.0,1.0,1.0,-88.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
291,2019-06-27T13:17,1.0,1.0,1.0,1.0,-86.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
293,2019-06-27T13:20,1.0,1.0,1.0,1.0,-30.2,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
295,2019-06-27T13:20,1.0,1.0,1.0,1.0,-88.0,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
297,2019-06-27T13:21,1.0,1.0,1.0,1.0,-90.2,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
299,2019-06-27T13:22,1.0,1.0,1.0,1.0,-25.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
301,2019-06-27T13:22,1.0,1.0,1.0,1.0,-24.5,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
303,2019-06-27T13:23,1.0,1.0,1.0,1.0,-86.3,49.9,2.1,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
305,2019-06-27T13:24,1.0,1.0,1.0,1.0,-30.0,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
307,2019-06-27T13:24,1.0,1.0,1.0,1.0,-88.9,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
309,2019-06-27T13:25,1.0,1.0,1.0,1.0,-88.4,50.0,1.7,1.6,1.7,0.0,0.0,0.0,92.7,0.0,0.0
311,2019-06-27T13:26,1.0,1.0,1.0,1.0,-90.1,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
313,2019-06-27T13:26,1.0,1.0,1.0,1.0,-91.8,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
315,2019-06-27T13:27,1.0,1.0,1.0,1.0,-30.1,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
317,2019-06-27T13:28,1.0,1.0,1.0,1.0,-23.7,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
319,2019-06-27T13:28,1.0,1.0,1.0,1.0,-28.5,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
321,2019-06-27T13:29,1.0,1.0,1.0,1.0,-30.2,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
323,2019-06-27T13:30,1.0,1.0,1.0,1.0,-92.6,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
325,2019-06-27T13:30,1.0,1.0,1.0,1.0,-25.6,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
327,2019-06-27T13:31,1.0,1.0,1.0,1.0,-28.2,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
329,2019-06-27T13:32,1.0,1.0,1.0,1.0,-87.7,50.0,1.7,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
331,2019-06-27T13:32,1.0,1.0,1.0,1.0,-25.6,50.0,0.7,0.7,0.7,0.0,0.0,0.0,92.7,0.0,0.0
333,2019-06-27T13:33,1.0,1.0,1.0,1.0,-30.2,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
335,2019-06-27T13:34,1.0,1.0,1.0,1.0,-90.7,50.0,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
337,2019-06-27T13:35,1.0,1.0,1.0,1.0,-33.5,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
339,2019-06-27T13:35,1.0,1.0,1.0,1.0,-89.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
341,2019-06-27T13:36,1.0,1.0,1.0,1.0,-82.7,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
343,2019-06-27T13:37,1.0,1.0,1.0,1.0,-28.9,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
345,2019-06-27T13:37,1.0,1.0,1.0,1.0,-31.5,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
347,2019-06-27T13:38,1.0,1.0,1.0,1.0,-90.1,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
349,2019-06-27T13:38,1.0,1.0,1.0,1.0,-90.6,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
351,2019-06-27T13:39,1.0,1.0,1.0,1.0,-87.3,49.9,1.9,1.9,1.9,0.0,0.0,0.0,92.7,0.0,0.0
353,2019-06-27T13:40,1.0,1.0,1.0,1.0,-87.6,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
355,2019-06-27T13:40,1.0,1.0,1.0,1.0,-27.1,49.9,1.2,1.2,1.2,0.0,0.0,0.0,92.7,0.0,0.0
357,2019-06-27T13:41,1.0,1.0,1.0,1.0,-25.5,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
359,2019-06-27T13:42,1.0,1.0,1.0,1.0,-35.0,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
361,2019-06-27T13:45,1.0,1.0,1.0,1.0,-86.7,49.9,1.7,1.7,2.0,0.0,0.0,0.0,92.7,0.0,0.0
363,2019-06-27T13:45,1.0,1.0,1.0,1.0,-28.7,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
365,2019-06-27T13:46,1.0,1.0,1.0,1.0,-24.6,49.9,1.8,1.8,1.8,0.0,0.0,0.0,92.7,0.0,0.0
367,2019-06-27T13:46,1.0,1.0,1.0,1.0,-26.2,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
369,2019-06-27T13:47,1.0,1.0,1.0,1.0,-87.2,49.9,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
371,2019-06-27T13:48,1.0,1.0,1.0,1.0,-87.0,49.9,1.6,1.6,1.6,0.0,0.0,0.0,92.7,0.0,0.0
373,2019-06-27T13:49,1.0,1.0,1.0,1.0,-87.1,50.0,1.7,1.7,1.7,0.0,0.0,0.0,92.7,0.0,0.0
