Site,Site Name,Energy Consumption (kWh),Date
CCC0501,Caliber 0501,1748.42,3/3/2020
CCC0501,Caliber 0501,1584.21,3/4/2020
CCC0501,Caliber 0501,1775.26,3/5/2020
CCC0501,Caliber 0501,1704.12,3/6/2020
CCC0501,Caliber 0501,967.35,3/7/2020
CCC0501,Caliber 0501,232.43,3/8/2020
CCC0501,Caliber 0501,1411,3/9/2020
CCC0501,Caliber 0501,1816.95,3/10/2020
CCC0501,Caliber 0501,1901.41,3/11/2020
CCC0501,Caliber 0501,1886.27,3/12/2020
CCC0501,Caliber 0501,1656.66,3/13/2020
CCC0501,Caliber 0501,1190.74,3/14/2020
CCC0501,Caliber 0501,1321.24,3/15/2020
CCC0501,Caliber 0501,1574.92,3/16/2020
CCC0501,Caliber 0501,1658.96,3/17/2020
CCC0501,Caliber 0501,1890.53,3/18/2020
CCC0501,Caliber 0501,1812.55,3/19/2020
CCC0501,Caliber 0501,1623.4,3/20/2020
CCC0501,Caliber 0501,701.54,3/21/2020
CCC0501,Caliber 0501,326.11,3/22/2020
CCC0501,Caliber 0501,1333.47,3/23/2020
CCC0501,Caliber 0501,1841.82,3/24/2020
CCC0501,Caliber 0501,1895.23,3/25/2020
CCC0501,Caliber 0501,2132.16,3/26/2020
CCC0501,Caliber 0501,1904.06,3/27/2020
CCC0501,Caliber 0501,916.29,3/28/2020
CCC0501,Caliber 0501,270.46,3/29/2020
CCC0501,Caliber 0501,1362.33,3/30/2020
CCC0501,Caliber 0501,1603.97,3/31/2020
CCC0501,Caliber 0501,1720.16,4/1/2020
CCC0501,Caliber 0501,1118.3,4/2/2020
CCC0501,Caliber 0501,960.96,4/3/2020
CCC0501,Caliber 0501,256.89,4/4/2020
CCC0501,Caliber 0501,147.22,4/5/2020
CCC0501,Caliber 0501,1228.68,4/6/2020
CCC0501,Caliber 0501,1563.21,4/7/2020
CCC0501,Caliber 0501,1678.38,4/8/2020
CCC0501,Caliber 0501,1232.36,4/9/2020
CCC0501,Caliber 0501,1258,4/10/2020
CCC0501,Caliber 0501,367.63,4/11/2020
CCC0501,Caliber 0501,410.39,4/12/2020
CCC0501,Caliber 0501,1127.69,4/13/2020
CCC0501,Caliber 0501,984.79,4/14/2020
CCC0501,Caliber 0501,1052.72,4/15/2020
CCC0501,Caliber 0501,1175.3,4/16/2020
CCC0501,Caliber 0501,1099.88,4/17/2020
CCC0501,Caliber 0501,155.68,4/18/2020
CCC0501,Caliber 0501,149.39,4/19/2020
CCC0501,Caliber 0501,1024.41,4/20/2020
CCC0501,Caliber 0501,1252.13,4/21/2020
CCC0501,Caliber 0501,1287.7,4/22/2020
CCC0501,Caliber 0501,1365.29,4/23/2020
CCC0501,Caliber 0501,1483.09,4/24/2020
CCC0501,Caliber 0501,850.23,4/25/2020
CCC0501,Caliber 0501,670.21,4/26/2020
CCC0501,Caliber 0501,1405.05,4/27/2020
