,PFL1,THDVL1,MDIL1,Date
2019-07-16 07:00:00,0.9766666666666666,1.833333333333333,140.5,2019-07-16 07:00:00
2019-07-16 08:00:00,0.9724999999999999,1.4000000000000001,140.5,2019-07-16 08:00:00
2019-07-16 09:00:00,0.9850000000000001,1.4,140.5,2019-07-16 09:00:00
2019-07-16 10:00:00,0.99,1.625,140.5,2019-07-16 10:00:00
2019-07-16 11:00:00,0.99,1.75,140.5,2019-07-16 11:00:00
2019-07-16 12:00:00,0.99,1.85,140.5,2019-07-16 12:00:00
2019-07-16 13:00:00,0.99,1.975,140.5,2019-07-16 13:00:00
2019-07-16 14:00:00,0.99,2.025,140.5,2019-07-16 14:00:00
2019-07-16 15:00:00,0.99,2.1,140.5,2019-07-16 15:00:00
2019-07-16 16:00:00,0.99,2.0999999999999996,140.5,2019-07-16 16:00:00
2019-07-16 17:00:00,0.99,2.35,140.5,2019-07-16 17:00:00
2019-07-16 18:00:00,0.99,3.15,145.5,2019-07-16 18:00:00
2019-07-16 19:00:00,0.99,2.25,152.1,2019-07-16 19:00:00
2019-07-16 20:00:00,0.99,2.275,168.35,2019-07-16 20:00:00
2019-07-16 21:00:00,0.99,2.125,184.6,2019-07-16 21:00:00
2019-07-16 22:00:00,0.99,1.8499999999999999,184.6,2019-07-16 22:00:00
2019-07-16 23:00:00,0.99,1.75,184.6,2019-07-16 23:00:00
2019-07-17 00:00:00,0.99,1.375,184.6,2019-07-17 00:00:00
2019-07-17 01:00:00,0.99,1.175,184.6,2019-07-17 01:00:00
2019-07-17 02:00:00,0.99,1.125,184.6,2019-07-17 02:00:00
2019-07-17 03:00:00,0.99,1.1749999999999998,184.6,2019-07-17 03:00:00
2019-07-17 04:00:00,0.99,1.0750000000000002,184.6,2019-07-17 04:00:00
2019-07-17 05:00:00,0.99,1.0,184.6,2019-07-17 05:00:00
2019-07-17 06:00:00,0.99,1.175,184.6,2019-07-17 06:00:00
2019-07-17 07:00:00,0.99,1.1500000000000001,184.6,2019-07-17 07:00:00
2019-07-17 08:00:00,0.99,1.475,184.6,2019-07-17 08:00:00
2019-07-17 09:00:00,0.99,1.0,184.6,2019-07-17 09:00:00
2019-07-17 10:00:00,0.99,1.3250000000000002,184.6,2019-07-17 10:00:00
2019-07-17 11:00:00,0.99,1.6500000000000001,184.6,2019-07-17 11:00:00
2019-07-17 12:00:00,0.99,1.775,184.6,2019-07-17 12:00:00
2019-07-17 13:00:00,0.99,1.8250000000000002,184.6,2019-07-17 13:00:00
2019-07-17 14:00:00,0.99,1.7999999999999998,184.6,2019-07-17 14:00:00
2019-07-17 15:00:00,0.99,1.5999999999999999,184.6,2019-07-17 15:00:00
2019-07-17 16:00:00,0.99,1.7,184.6,2019-07-17 16:00:00
2019-07-17 17:00:00,0.99,1.825,184.6,2019-07-17 17:00:00
2019-07-17 18:00:00,0.99,2.0999999999999996,184.6,2019-07-17 18:00:00
2019-07-17 19:00:00,0.99,2.1500000000000004,189.075,2019-07-17 19:00:00
2019-07-17 20:00:00,0.99,2.175,189.5,2019-07-17 20:00:00
2019-07-17 21:00:00,0.99,1.95,189.5,2019-07-17 21:00:00
2019-07-17 22:00:00,0.99,1.55,189.5,2019-07-17 22:00:00
2019-07-17 23:00:00,0.99,1.2999999999999998,189.5,2019-07-17 23:00:00
2019-07-18 00:00:00,0.99,0.975,189.5,2019-07-18 00:00:00
2019-07-18 01:00:00,0.99,0.825,189.5,2019-07-18 01:00:00
2019-07-18 02:00:00,0.99,0.75,189.5,2019-07-18 02:00:00
2019-07-18 03:00:00,0.99,0.7749999999999999,189.5,2019-07-18 03:00:00
2019-07-18 04:00:00,0.99,0.7999999999999999,189.5,2019-07-18 04:00:00
2019-07-18 05:00:00,0.99,0.875,189.5,2019-07-18 05:00:00
2019-07-18 06:00:00,0.99,0.95,189.5,2019-07-18 06:00:00
2019-07-18 07:00:00,0.99,1.075,189.5,2019-07-18 07:00:00
2019-07-18 08:00:00,0.99,1.4,189.5,2019-07-18 08:00:00
2019-07-18 09:00:00,0.99,1.45,189.5,2019-07-18 09:00:00
2019-07-18 10:00:00,0.99,1.575,189.5,2019-07-18 10:00:00
2019-07-18 11:00:00,0.99,1.75,189.5,2019-07-18 11:00:00
2019-07-18 12:00:00,0.99,1.78,189.5,2019-07-18 12:00:00
2019-07-18 13:00:00,0.99,1.775,189.5,2019-07-18 13:00:00
2019-07-18 14:00:00,0.99,1.75,189.5,2019-07-18 14:00:00
2019-07-18 15:00:00,0.99,1.75,189.5,2019-07-18 15:00:00
2019-07-18 16:00:00,0.99,1.8249999999999997,189.5,2019-07-18 16:00:00
2019-07-18 17:00:00,0.99,2.275,189.5,2019-07-18 17:00:00
2019-07-18 18:00:00,0.99,3.375,189.5,2019-07-18 18:00:00
2019-07-18 19:00:00,0.99,2.1750000000000003,189.5,2019-07-18 19:00:00
2019-07-18 20:00:00,0.99,1.875,189.5,2019-07-18 20:00:00
2019-07-18 21:00:00,0.99,1.95,189.5,2019-07-18 21:00:00
2019-07-18 22:00:00,0.99,1.525,189.5,2019-07-18 22:00:00
2019-07-18 23:00:00,0.99,1.35,189.5,2019-07-18 23:00:00
2019-07-19 00:00:00,0.99,1.025,189.5,2019-07-19 00:00:00
2019-07-19 01:00:00,0.99,0.8,189.5,2019-07-19 01:00:00
2019-07-19 02:00:00,0.99,1.8499999999999999,189.5,2019-07-19 02:00:00
2019-07-19 03:00:00,0.99,0.8250000000000001,189.5,2019-07-19 03:00:00
2019-07-19 04:00:00,0.99,0.75,189.5,2019-07-19 04:00:00
2019-07-19 05:00:00,0.99,0.875,189.5,2019-07-19 05:00:00
2019-07-19 06:00:00,0.99,0.95,189.5,2019-07-19 06:00:00
2019-07-19 07:00:00,0.99,1.1,189.5,2019-07-19 07:00:00
2019-07-19 08:00:00,0.99,1.275,189.5,2019-07-19 08:00:00
2019-07-19 09:00:00,0.99,1.4,189.5,2019-07-19 09:00:00
2019-07-19 10:00:00,0.9875,1.475,189.5,2019-07-19 10:00:00
2019-07-19 11:00:00,0.99,1.7,189.5,2019-07-19 11:00:00
2019-07-19 12:00:00,0.99,1.75,189.5,2019-07-19 12:00:00
2019-07-19 13:00:00,0.99,1.725,189.5,2019-07-19 13:00:00
2019-07-19 14:00:00,0.99,1.7,189.5,2019-07-19 14:00:00
2019-07-19 15:00:00,0.99,1.7,189.5,2019-07-19 15:00:00
2019-07-19 16:00:00,0.99,1.6749999999999998,189.5,2019-07-19 16:00:00
2019-07-19 17:00:00,0.99,2.575,189.5,2019-07-19 17:00:00
2019-07-19 18:00:00,0.99,2.125,189.5,2019-07-19 18:00:00
2019-07-19 19:00:00,0.99,2.25,189.5,2019-07-19 19:00:00
2019-07-19 20:00:00,0.99,2.1500000000000004,189.5,2019-07-19 20:00:00
2019-07-19 21:00:00,0.99,2.0000000000000004,189.5,2019-07-19 21:00:00
2019-07-19 22:00:00,0.99,1.6749999999999998,189.5,2019-07-19 22:00:00
2019-07-19 23:00:00,0.99,1.6,189.5,2019-07-19 23:00:00
2019-07-20 00:00:00,0.99,1.05,189.5,2019-07-20 00:00:00
2019-07-20 01:00:00,0.99,0.8500000000000001,189.5,2019-07-20 01:00:00
2019-07-20 02:00:00,0.99,0.8500000000000001,189.5,2019-07-20 02:00:00
2019-07-20 03:00:00,0.99,0.8,189.5,2019-07-20 03:00:00
2019-07-20 04:00:00,0.99,0.8250000000000001,189.5,2019-07-20 04:00:00
2019-07-20 05:00:00,0.99,0.9,189.5,2019-07-20 05:00:00
2019-07-20 06:00:00,0.99,1.025,189.5,2019-07-20 06:00:00
2019-07-20 07:00:00,0.99,1.1,189.5,2019-07-20 07:00:00
2019-07-20 08:00:00,0.99,1.225,189.5,2019-07-20 08:00:00
2019-07-20 09:00:00,0.99,1.75,189.5,2019-07-20 09:00:00
2019-07-20 10:00:00,0.99,1.5,189.5,2019-07-20 10:00:00
2019-07-20 11:00:00,0.99,1.65,189.5,2019-07-20 11:00:00
2019-07-20 12:00:00,0.99,1.7,189.5,2019-07-20 12:00:00
2019-07-20 13:00:00,0.99,1.7750000000000001,189.5,2019-07-20 13:00:00
2019-07-20 14:00:00,0.99,1.75,189.5,2019-07-20 14:00:00
2019-07-20 15:00:00,0.99,1.7,189.5,2019-07-20 15:00:00
2019-07-20 16:00:00,0.99,1.6250000000000002,189.5,2019-07-20 16:00:00
2019-07-20 17:00:00,0.99,1.75,189.5,2019-07-20 17:00:00
2019-07-20 18:00:00,0.99,2.15,189.5,2019-07-20 18:00:00
2019-07-20 19:00:00,0.99,2.225,189.5,2019-07-20 19:00:00
2019-07-20 20:00:00,0.99,2.15,189.5,2019-07-20 20:00:00
2019-07-20 21:00:00,0.99,1.8,189.5,2019-07-20 21:00:00
2019-07-20 22:00:00,0.99,1.65,189.5,2019-07-20 22:00:00
2019-07-20 23:00:00,0.99,1.3250000000000002,189.5,2019-07-20 23:00:00
2019-07-21 00:00:00,0.99,1.2000000000000002,189.5,2019-07-21 00:00:00
2019-07-21 01:00:00,0.99,0.7749999999999999,189.5,2019-07-21 01:00:00
2019-07-21 02:00:00,0.99,0.7749999999999999,189.5,2019-07-21 02:00:00
2019-07-21 03:00:00,0.99,0.7750000000000001,189.5,2019-07-21 03:00:00
2019-07-21 04:00:00,0.99,0.85,189.5,2019-07-21 04:00:00
2019-07-21 05:00:00,0.99,1.1,189.5,2019-07-21 05:00:00
2019-07-21 06:00:00,0.99,1.4000000000000001,189.5,2019-07-21 06:00:00
2019-07-21 07:00:00,0.99,0.975,189.5,2019-07-21 07:00:00
2019-07-21 08:00:00,0.99,1.125,189.5,2019-07-21 08:00:00
2019-07-21 09:00:00,0.9875,1.3250000000000002,189.5,2019-07-21 09:00:00
2019-07-21 10:00:00,0.99,1.4500000000000002,189.5,2019-07-21 10:00:00
2019-07-21 11:00:00,0.99,1.525,189.5,2019-07-21 11:00:00
2019-07-21 12:00:00,0.99,2.275,189.5,2019-07-21 12:00:00
2019-07-21 13:00:00,0.99,1.5,189.5,2019-07-21 13:00:00
2019-07-21 14:00:00,0.99,1.4500000000000002,189.5,2019-07-21 14:00:00
2019-07-21 15:00:00,0.99,1.45,189.5,2019-07-21 15:00:00
2019-07-21 16:00:00,0.99,2.325,189.5,2019-07-21 16:00:00
2019-07-21 17:00:00,0.99,1.5,189.5,2019-07-21 17:00:00
2019-07-21 18:00:00,0.99,1.7999999999999998,189.5,2019-07-21 18:00:00
2019-07-21 19:00:00,0.99,1.4,189.5,2019-07-21 19:00:00
2019-07-21 20:00:00,0.99,1.7,189.5,2019-07-21 20:00:00
2019-07-21 21:00:00,0.99,1.625,189.5,2019-07-21 21:00:00
2019-07-21 22:00:00,0.99,1.525,189.5,2019-07-21 22:00:00
2019-07-21 23:00:00,0.99,1.225,189.5,2019-07-21 23:00:00
2019-07-22 00:00:00,0.99,1.025,189.5,2019-07-22 00:00:00
2019-07-22 01:00:00,0.99,0.9000000000000001,189.5,2019-07-22 01:00:00
2019-07-22 02:00:00,0.99,0.7999999999999999,189.5,2019-07-22 02:00:00
2019-07-22 03:00:00,0.99,1.6750000000000003,189.5,2019-07-22 03:00:00
2019-07-22 04:00:00,0.99,0.8,189.5,2019-07-22 04:00:00
2019-07-22 05:00:00,0.99,0.775,189.5,2019-07-22 05:00:00
2019-07-22 06:00:00,0.99,0.925,189.5,2019-07-22 06:00:00
2019-07-22 07:00:00,0.99,1.075,189.5,2019-07-22 07:00:00
2019-07-22 08:00:00,0.9875,1.25,189.5,2019-07-22 08:00:00
2019-07-22 09:00:00,0.99,1.325,189.5,2019-07-22 09:00:00
2019-07-22 10:00:00,0.99,1.375,189.5,2019-07-22 10:00:00
2019-07-22 11:00:00,0.99,2.3249999999999997,189.5,2019-07-22 11:00:00
2019-07-22 12:00:00,0.99,1.8250000000000002,189.5,2019-07-22 12:00:00
2019-07-22 13:00:00,0.99,1.9249999999999998,189.5,2019-07-22 13:00:00
2019-07-22 14:00:00,0.99,1.8250000000000002,189.5,2019-07-22 14:00:00
2019-07-22 15:00:00,0.99,1.7999999999999998,189.5,2019-07-22 15:00:00
2019-07-22 16:00:00,0.99,1.7999999999999998,189.5,2019-07-22 16:00:00
2019-07-22 17:00:00,0.99,1.7999999999999998,189.5,2019-07-22 17:00:00
2019-07-22 18:00:00,0.9899999999999999,2.3,189.5,2019-07-22 18:00:00
2019-07-22 19:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-22 19:00:00
2019-07-22 20:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-22 20:00:00
2019-07-22 21:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-22 21:00:00
2019-07-22 22:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-22 22:00:00
2019-07-22 23:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-22 23:00:00
2019-07-23 00:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-23 00:00:00
2019-07-23 01:00:00,0.9899999999999999,2.466666666666667,189.5,2019-07-23 01:00:00
2019-07-23 02:00:00,0.99,3.0,189.5,2019-07-23 02:00:00
2019-07-23 03:00:00,0.99,0.825,189.5,2019-07-23 03:00:00
2019-07-23 04:00:00,0.99,1.425,189.5,2019-07-23 04:00:00
2019-07-23 05:00:00,0.99,0.9,189.5,2019-07-23 05:00:00
2019-07-23 06:00:00,0.9875,0.7,189.5,2019-07-23 06:00:00
2019-07-23 07:00:00,0.99,2.0,189.5,2019-07-23 07:00:00
2019-07-23 08:00:00,0.99,1.2,189.5,2019-07-23 08:00:00
2019-07-23 09:00:00,0.985,1.4249999999999998,189.5,2019-07-23 09:00:00
2019-07-23 10:00:00,0.9875,1.525,189.5,2019-07-23 10:00:00
2019-07-23 11:00:00,0.99,2.175,189.5,2019-07-23 11:00:00
2019-07-23 12:00:00,0.99,1.6500000000000001,189.5,2019-07-23 12:00:00
2019-07-23 13:00:00,0.9899999999999999,2.766666666666667,189.5,2019-07-23 13:00:00
2019-07-23 14:00:00,0.99,2.0,189.5,2019-07-23 14:00:00
2019-07-23 15:00:00,0.99,1.625,189.5,2019-07-23 15:00:00
2019-07-23 16:00:00,0.99,1.625,189.5,2019-07-23 16:00:00
2019-07-23 17:00:00,0.99,1.9,189.5,2019-07-23 17:00:00
2019-07-23 18:00:00,0.99,2.2,190.075,2019-07-23 18:00:00
2019-07-23 19:00:00,0.99,2.22,202.85999999999999,2019-07-23 19:00:00
2019-07-23 20:00:00,0.99,2.1750000000000003,202.9,2019-07-23 20:00:00
2019-07-23 21:00:00,0.99,1.975,202.9,2019-07-23 21:00:00
2019-07-23 22:00:00,0.99,1.6749999999999998,202.9,2019-07-23 22:00:00
2019-07-23 23:00:00,0.99,1.275,202.9,2019-07-23 23:00:00
2019-07-24 00:00:00,0.99,0.95,202.9,2019-07-24 00:00:00
2019-07-24 01:00:00,0.99,1.0,202.9,2019-07-24 01:00:00
